Iteration,AverageDiscountedReturn,AverageReturn,ExplainedVariance,NumTrajs,Entropy,Perplexity,StdReturn,MaxReturn,MinReturn,AveragePolicyStd,LossBefore,LossAfter,MeanKLBefore,MeanKL,dLoss
0,-0.151999949853,-8.41260245673,7.48001938167e-09,9,19.9318283624,453192873.636,0.892050263703,-7.08595480457,-9.84047789111,4.39982995913,9.14746117816e-17,-0.0224864249584,0.0,0.00644990578245,0.0224864249584
1,-0.144963474198,-7.74870734481,0.754871667909,8,19.9308843935,452765275.479,1.16481500978,-6.04067110753,-9.66646889536,4.40196330635,2.62541729369e-16,-0.0241287217292,0.0,0.00855965291357,0.0241287217292
2,-0.105183411349,-6.83779163984,0.648973192301,9,19.8965489597,437483242.275,0.659944441739,-5.76663709179,-7.704787448,4.38038606382,7.82633408007e-17,-0.0253346524105,0.0,0.00863739786764,0.0253346524105
3,-0.126415451865,-8.39472406863,0.313632872417,10,19.8905714014,434875961.073,2.78463993135,-5.72869087547,-16.1187079232,4.37481081475,1.59024966306e-16,-0.0237702111741,0.0,0.00646052400557,0.0237702111741
4,-0.125628681516,-7.08475346258,0.370545460172,9,19.8914825535,435272379.786,0.584303541918,-6.28465728962,-7.91611838029,4.37478513122,1.55337043352e-16,-0.00631402633388,0.0,0.00726357345214,0.00631402633388
5,-0.0998302460455,-6.66768852772,0.235736409527,10,19.8841667743,432099642.825,1.14710359827,-5.1894773357,-9.07339014304,4.37102920472,5.51010103187e-16,-0.0241798477449,0.0,0.00976856797296,0.0241798477449
6,-0.0737502361052,-6.90610396645,0.796742465207,6,19.8905079312,434848360.276,1.19473418692,-5.35233794718,-8.84343780667,4.37602637277,1.64373445317e-16,-0.0331646726481,0.0,0.00645146412397,0.0331646726481
7,-0.118095179758,-8.16894593353,0.483058542571,8,19.8988784994,438503564.833,1.24262580888,-5.87831425332,-9.79360989794,4.38197929076,-7.20935558323e-17,-0.0468194644924,0.0,0.00715150032119,0.0468194644924
8,-0.108207302303,-7.63824720137,0.662330986934,9,19.8909445395,435038260.11,1.33682066505,-5.79120856735,-9.97348108214,4.37723104999,1.55116690118e-16,-0.0224967391142,0.0,0.00993393851402,0.0224967391142
9,-0.146765027543,-7.58602615972,-14.0925657298,8,19.8913507129,435214996.973,1.30260073048,-5.79006077616,-9.5574954995,4.37776685265,-1.83291437372e-16,-0.0238489231913,0.0,0.00820577630701,0.0238489231913
10,-0.103071171368,-7.45681089063,0.628178930979,10,19.8918641875,435438526.198,1.28161674976,-5.16846930362,-10.0107460074,4.37851166811,-5.10926681978e-17,-0.0191774693235,0.0,0.00640855178969,0.0191774693235
11,-0.0635874528901,-6.76487639552,-35.9043446368,5,19.88148796,430943677.141,0.612821425256,-5.88542087671,-7.73278462536,4.3738583575,3.35642591836e-16,-0.018812926067,0.0,0.00972938666718,0.018812926067
12,-0.110052292175,-7.44819560154,-13.4940529066,9,19.8325320537,410354530.968,1.01286766089,-6.15930067668,-9.1927959411,4.34975028883,-1.71623701143e-16,-0.0239826476802,0.0,0.0061443941137,0.0239826476802
13,-0.086048066617,-6.59617432727,0.707854213359,7,19.8399752639,413420281.365,0.820863793282,-5.63832404353,-7.98996136997,4.35592975093,1.40570038267e-17,-0.0287117485702,0.0,0.00903502087466,0.0287117485702
14,-0.110623953194,-6.5408553437,-422.718960513,10,19.8421545977,414322244.636,0.854664351967,-5.29064278228,-7.81710967317,4.36194334934,1.14695540353e-16,-0.0283124403942,0.0,0.00851667432434,0.0283124403942
15,-0.106717270584,-7.09000123707,0.670303619531,8,19.8363772234,411935451.286,1.0497053762,-5.67815010271,-8.57215831505,4.35539218074,-4.36741075808e-16,-0.0345283939421,0.0,0.00946489697038,0.0345283939421
16,-0.119191405483,-6.90449411375,0.331734465446,9,19.8341919107,411036226.394,1.16946070299,-5.50239722396,-9.29551078923,4.35695560042,-8.37322118403e-17,-0.0125164320919,0.0,0.00743637112821,0.0125164320919
17,-0.113859495624,-7.91124223715,-2.27788125745,8,19.8231447715,406520441.193,1.69507340311,-5.90951955245,-10.7871609824,4.35143697714,-1.1875908185e-16,-0.0268217813716,0.0,0.00792357080254,0.0268217813716
18,-0.0792591081561,-6.98547156692,0.738236898802,7,19.8429466218,414650527.807,1.22821352069,-5.48886949886,-9.3834759432,4.36337498579,4.86178745992e-17,-0.0211403407696,0.0,0.00941820201366,0.0211403407696
19,-0.118861444188,-6.25402771969,0.652492864688,9,19.8431285199,414725958.823,1.06921070767,-4.84553357897,-7.98764344279,4.36378710412,8.43984034565e-17,-0.0313138802497,0.0,0.00641631343,0.0313138802497
